Run Name,Mean Average Precision,Mean P@10,Mean NDCG@10,Mean NDCG@1000,Mean TBG
asmehrot-hw4-bm25-baseline,0.208,0.251,0.333,0.425,1.766
asmehrot-hw4-bm25-stem,0.251,0.284,0.374,0.486,2.047
P-value,0.005187777991332090,0.1251062406735980,0.09021119902830930,0.0016197219485232200,0.0005393039066169450
